航班,状态,出发地,预计起飞,实际起飞,航站楼,登机口
FM9230,未起飞,['青岛'],17:40,待定,T2,28
KN5955,未起飞,"['北京', '南苑机场']",17:40,待定,T2,29
FM9230,未起飞,['鸡西'],17:40,待定,T2,28
MU5308,未起飞,['广州'],17:45,待定,T1,9
MU5560,未起飞,['南昌'],17:50,待定,T2,29
MU5352,未起飞,['深圳'],17:55,待定,T2,30
MU5390,未起飞,['洛阳'],18:10,待定,T2,31
MU5412,未起飞,['成都'],18:10,待定,T2,29
MU5390,未起飞,"['北京', '首都机场']",18:10,待定,T2,31
MU2505,未起飞,['武汉'],18:15,待定,T2,29
MU2161,未起飞,['西安'],18:15,待定,T2,29
MU5118,未起飞,"['北京', '首都机场']",18:20,待定,T2,31
KN2317,未起飞,['石家庄'],18:30,待定,T2,29
MU5312,未起飞,['广州'],18:45,待定,T2,28
FM9458,未起飞,['贵阳'],18:45,待定,T2,27
MU2509,未起飞,['武汉'],18:50,待定,T2,29
MU5272,未起飞,['长沙'],18:50,待定,T2,30
FM9298,未起飞,['揭阳'],18:55,待定,T2,27
MU5980,未起飞,['昆明'],18:55,待定,T2,30
MU5811,未起飞,['昆明'],18:55,待定,T2,30
FM9298,未起飞,['珠海'],18:55,待定,T2,27
MU5980,未起飞,['保山'],18:55,待定,T2,30
MU5811,未起飞,['芒市'],18:55,待定,T2,30
MU5350,未起飞,['深圳'],19:00,待定,T2,30
MU5524,未起飞,['青岛'],19:10,待定,T2,28
MU2165,未起飞,['西安'],19:10,待定,T2,29
MU2165,未起飞,['嘉峪关'],19:10,待定,T2,29
FM9064,未起飞,['天津'],19:15,待定,T2,28
MU5120,未起飞,"['北京', '首都机场']",19:15,待定,T2,31
FM9330,未起飞,['郑州'],19:20,待定,T2,27
MU5432,未起飞,['重庆'],19:20,待定,T2,29
MU2406,未起飞,['太原'],19:25,待定,T2,29
MU5526,未起飞,['烟台'],19:30,待定,T2,29
MU5526,未起飞,['牡丹江'],19:30,待定,T2,29
FM9270,未起飞,['井冈山'],19:35,待定,T2,27
FM9270,未起飞,['海口'],19:35,待定,T2,27
FM9516,未起飞,['温州'],19:55,待定,T2,27
MU5530,未起飞,['青岛'],19:55,待定,T2,28
MU5530,未起飞,['大庆'],19:55,待定,T2,28
MU5536,未起飞,['武夷山'],20:00,待定,T2,30
FM9400,未起飞,['长沙'],20:00,待定,T2,27
FM9334,未起飞,['深圳'],20:00,待定,T2,30
FM9400,未起飞,['梧州'],20:00,待定,T2,27
MU5536,未起飞,['南宁'],20:00,待定,T2,30
FM9318,未起飞,['广州'],20:05,待定,T2,28
MU2513,未起飞,['武汉'],20:10,待定,T2,29
FM9376,未起飞,['郑州'],20:10,待定,T2,27
FM9454,未起飞,['昆明'],20:10,待定,T2,30
FM9454,未起飞,['西双版纳'],20:10,待定,T2,30
MU2180,未起飞,['烟台'],20:15,待定,T2,29
MU5122,未起飞,"['北京', '首都机场']",20:15,待定,T2,31
MU2180,未起飞,['延吉'],20:15,待定,T2,29
MU2127,未起飞,['兰州'],20:40,待定,T2,29
MU5354,未起飞,['深圳'],20:45,待定,T2,30
FM9108,未起飞,"['北京', '首都机场']",20:50,待定,T2,31
FM9374,未起飞,['厦门'],20:55,待定,T2,28
MU5310,未起飞,['广州'],20:55,待定,T2,28
MU2410,未起飞,['太原'],21:10,待定,T2,30
MU2410,未起飞,['呼和浩特'],21:10,待定,T2,30
FM9574,未起飞,['烟台'],21:15,待定,T2,27
MU5124,未起飞,"['北京', '首都机场']",21:15,待定,T2,31
FM9574,未起飞,['丹东'],21:15,待定,T2,27
FM9210,未起飞,['南宁'],21:20,待定,T2,27
MU9725,未起飞,['大理'],21:25,待定,T2,30
FM9362,未起飞,['长沙'],21:40,待定,T2,27
MU5434,未起飞,['重庆'],21:40,待定,T2,29
MU2216,未起飞,['西安'],21:45,待定,T2,29
MU5356,未起飞,['深圳'],21:45,待定,T2,30
FM9316,未起飞,['广州'],21:45,待定,T2,28
MU2336,未起飞,['西安'],21:45,待定,T2,29
MU2336,未起飞,['拉萨'],21:45,待定,T2,29
MU2216,未起飞,['敦煌'],21:45,待定,T2,29
FM9466,未起飞,['郑州'],21:50,待定,T2,27
FM9502,未起飞,['揭阳'],21:50,待定,T2,27
FM9466,未起飞,['鄂尔多斯'],21:50,待定,T2,27
FM9262,未起飞,['厦门'],21:55,待定,T2,28
MU5440,未起飞,['天津'],21:55,待定,T2,28
FM9128,未起飞,['呼和浩特'],21:55,待定,T2,27
FM9128,未起飞,['海拉尔'],21:55,待定,T2,27
MU2470,未起飞,['武汉'],22:10,待定,T2,29
FM9216,未起飞,['珠海'],22:10,待定,T2,27
MU2470,未起飞,['恩施'],22:10,待定,T2,29
FM9204,未起飞,['西安'],22:15,待定,T2,28
MU5126,未起飞,"['北京', '首都机场']",22:15,待定,T2,31
FM9372,未起飞,['盐城'],22:25,待定,T2,27
FM9372,未起飞,['延吉'],22:25,待定,T2,27
MU5550,未起飞,['临沂'],22:30,待定,T2,29
FM9404,未起飞,['成都'],22:30,待定,T2,27
