航班,状态,目的地,预计到达,实际到达,航站楼,登机口
FM9333,未起飞,['深圳'],13:00,待定,T2,41
MU5111,未起飞,"['北京', '首都机场']",13:00,待定,T2,30
FM9371,未起飞,['延吉'],13:05,待定,T2,40
FM9371,未起飞,['盐城'],13:05,待定,T2,40
MU7785,未起飞,['重庆'],13:10,待定,T2,70
MU7785,未起飞,['信阳市'],13:10,待定,T2,70
MU5804,未起飞,['昆明'],13:15,待定,T2,63
MU2156,未起飞,['西宁'],13:20,待定,T2,33
MU2156,未起飞,['西安'],13:20,待定,T2,33
MU2508,未起飞,['武汉'],13:25,待定,T2,71
FM9309,未起飞,['广州'],13:30,待定,T2,51
FM9103,未起飞,"['北京', '首都机场']",13:30,待定,T2,28
MU9726,未起飞,['大理'],13:40,待定,T2,21
FM9063,未起飞,['天津'],13:50,待定,T2,43
MU2403,未起飞,['太原'],14:00,待定,T2,66
MU5113,未起飞,"['北京', '首都机场']",14:00,待定,T2,48
MU5345,未起飞,['深圳'],14:05,待定,T2,51
MU5271,未起飞,['长沙'],14:05,待定,T2,62
FM9219,未起飞,['和田'],14:10,待定,T2,24
FM9219,未起飞,['乌鲁木齐'],14:10,待定,T2,24
MU2434,未起飞,['鄂尔多斯'],14:10,待定,T2,65
MU2434,未起飞,['洛阳'],14:10,待定,T2,65
MU2158,未起飞,['西安'],14:20,待定,T2,61
MU5307,未起飞,['广州'],14:30,待定,T2,69
MU5155,未起飞,"['北京', '首都机场']",14:30,待定,T2,73
FM9329,未起飞,['郑州'],14:30,待定,T2,26
FM9209,未起飞,['南宁'],14:55,待定,T2,38
MU5115,未起飞,"['北京', '首都机场']",15:00,待定,T2,37
MU5515,未起飞,['青岛'],15:00,待定,T2,64
MU5347,未起飞,['深圳'],15:05,待定,T2,56
FM9403,未起飞,['成都'],15:10,待定,T2,30
MU5429,未起飞,['重庆'],15:15,待定,T2,63
MU5929,未起飞,['文山'],15:25,待定,T2,70
MU5929,未起飞,['昆明'],15:25,待定,T2,70
MU5806,未起飞,['昆明'],15:25,待定,T2,70
MU2385,未起飞,['中卫'],15:30,待定,T3,待定
MU9641,未起飞,['敦煌'],15:30,待定,T2,72
MU2385,-,['西安'],15:30,待定,-,待定
MU9641,未起飞,['西安'],15:30,待定,T2,72
MU2160,未起飞,['西安'],15:30,待定,T2,72
FM9315,未起飞,['广州'],15:30,待定,T2,74
FM9375,未起飞,['郑州'],15:30,待定,T2,22
FM9521,未起飞,['三亚'],15:40,待定,T2,28
FM9379,未起飞,['深圳'],15:45,待定,T2,21
MU5543,未起飞,['烟台'],15:45,待定,T2,62
FM9549,未起飞,['成都'],15:55,待定,T2,75
MU5439,未起飞,['天津'],15:55,待定,T2,61
MU5117,未起飞,"['北京', '首都机场']",16:00,待定,T2,57
FM9373,未起飞,['厦门'],16:05,待定,T2,42
FM9207,未起飞,['西安'],16:10,待定,T2,65
FM9423,未起飞,['重庆'],16:15,待定,T2,54
FM9185,未起飞,['沈阳'],16:20,待定,T2,25
MU5385,未起飞,['郑州'],16:25,待定,T2,24
MU2522,未起飞,['武汉'],16:25,待定,T2,71
MU5808,未起飞,['普洱'],16:30,待定,T2,29
MU5808,未起飞,['昆明'],16:30,待定,T2,29
MU5313,取消,['广州'],16:30,待定,T2,37
